abide,abode,abided
alight,alit,alit
arise,arose,arisen
awake,awoke,awoken
babysit,babysat,babysat
is,was,been
am,was,been
are,were,been
bear,bore,borne
beat,beat,beaten
become,became,become
befall,befell,befallen
befit,befitted,befitted
beget,begot,begotten
begin,began,begun
behold,beheld,beheld
bend,bent,bent
beseech,besought,besought
beset,beset,beset
bespeak,bespoke,bespoken
bestride,bestrode,bestridden
bet,bet,bet
betake,betook,betaken
bethink,bethought,bethought
bid,bid,bid
bind,bound,bitten
bite,bit,bound
bleed,bled,bled
blow,blew,blown
break,broke,broken
breastfeed,breastfed,breastfed
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
browbeat,browbeat,browbeaten
build,built,built
burn,burnt,burnt
burst,burst,burst
buy,bought,bought
cast,cast,cast
catch,caught,caught
choose,chose,chosen
cleave,cleft,cleft
clove,cloven,cleft
cling,clung,clung
come,came,come
cost,cost,cost
creep,crept,crept
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
dive,dove,dived
do,did,done
draw,drew,drawn
dream,dreamt,dreamt
drink,drank,drunk
drive,drove,driven
dwell,dwelt,dwelt
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
fit,fit,fit
flee,fled,fled
fling,flung,flung
fly,flew,flown
forbear,forbore,forborne
borbid,forbade,forbidden
forecast,forecast,forecast
foresee,foresaw,foreseen
foretell,foretold,foretold
forget,forgot,forgotten
forgive,forgave,forgiven
forgo,forwent,forgone
freeze,froze,frozen
gainsay,gainsaid,gainsaid
get,got,gotten
gird,girt,girt
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
hamstring,hamstrung,hamstrung
hang,hung,hung
have,had,had
hear,heard,heard
heave,hove,hove
hew,hewed,hewn
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
input,input,input
inset,inset,inset
interbreed,interbred,interbred
interweave,interwove,interwoven
keep,kept,kept
kneel,knelt,knelt
knit,knit,knit
know,knew,known
lay,laid,laid
lead,led,led
leap,leapt,leapt
leave,left,left
lend,lent,lent
let,let,let
lie,lay,laid
light,lit,lit
lose,lost,lost
make,made,made
may,might,mayed
mean,meant,meant
meet,met,met
miscast,miscast,miscast
mishear,misheard,misheard
mislay,mislaid,mislaid
mislead,misled,misled
misread,misread,misread
misspend,misspent,misspent
mistake,mistook,mistaken
misunderstand,misunderstood,misunderstood
mow,mowed,mown
offset,offset,offset
outbid,outbid,outbid
outdo,outdid,outdone
outgrow,outgrew,outgrown
outride,outrode,outridden
outrun,outran,outrun
outsell,outsold,outsold
outshine,outshone,outshone
outshoot,outshot,outshot
outspend,outspent,outspent
overcome,overcame,overcome
overdo,overdid,overdone
overeat,overate,overeaten
overhang,overhung,overhung
overhear,overheard,overheard
overlay,overlaid,overlaid
overpay,overpaid,overpaid
override,overrode,overridden
overrun,overran,overrun
oversee,oversaw,overseen
oversell,oversold,oversold
overshoot,overshot,overshot
oversleep,overslept,overslept
overspend,overspent,overspent
overtake,overtook,overtaken
overthrow,overthrew,overthrown
partake,partook,partaken
pay,paid,paid
plead,pled,pled
proofread,proofread,proofread
prove,proved,proven
put,put,put
quit,quit,quit
read,read,read
rebuild,rebuilt,rebuilt
recast,recast,recast
redo,redid,redone
relay,relaid,relaid
remake,remade,remade
rend,rent,rent
repay,repaid,repaid
rerun,reran,rerun
resell,resold,resold
reset,reset,reset
retell,retold,retold
rethink,rethought,rethought
rewind,rewound,rewound
rewrite,rewrote,rewritten
rid,rid,rid
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
saw,sawed,sawn
say,said,said
see,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
sew,sewed,sewn
shake,shook,shaken
shear,sheared,shorn
shed,shed,shed
shine,shone,shone
shit,shit,shat,shit,shat
shoe,shod,shod
shoot,shot,shot
show,showed,shown
shrink,shrank,shrunk,shrunk
shut,shut,shut
simulcast,simulcast,simulcast
sing,sang,sung
sink,sank,sunk
sit,sat,sat
slay,slew,slain
sleep,slept,slept
slide,slid,slid
sling,slung,slung
slink,slunk,slunk
slit,slit,slit
smite,smote,smitten
sneak,snuck,snuck
sow,sowed,sown
speak,spoke,spoken
speed,sped,sped
spill,spilt,spilt
spin,spun,spun
spit,spit,spat,spit,spat
split,split,split
spoon-fed,spoon-fed,spoon-fed
spotlight,spotlit,spotlit
spread,spread,spread
spring,sprang,sprung
stand,stood,stood
steal,stole,stole
stick,stuck,stuck
sting,stung,stung
stink,stank,stank
strew,strewed,strewn
stride,strode,stridden
strike,struck,struck
string,strung,strung
strive,strove,striven
swear,swore,sworn
sweep,swept,swept
swell,swelled,swollen
swim,swam,swum
swing,swung,swung
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
think,thought,thought
thrive,throve,thrived
throw,threw,thrown
thrust,thrust,thrust
tread,trod,trodden
unbend,unbent,unbent
unbind,unbound,unbound
undergo,underwent,undergone
underlie,underlay,underlain
underpay,underpaid,underpaid
undersell,undersold,undersold
understand,understood,understood
undertake,undertook,undertaken
underwrite,underwrote,underwritten
undo,undid,undone
unwind,unwound,unwound
uphold,upheld,upheld
upset,upset,upset
wake,woke,woken
waylay,waylaid,waylaid
wear,wore,worn
weave,wove,woven
wed,wed,wed
weep,wept,wept
wet,wet,wet
win,won,won
wind,wound,wound
withdraw,withdrew,withdrawn
withhold,withheld,withheld
withstand,withstood,withstood
wreak,wrought,wrought
wring,wrung,wrung
write,wrote,written
