abacus,abaci
actus,cacti
addendum,addenda
agendum,agenda
aircraft,aircraft
alga,algae
alumna,alumnae
alumnus,alumni
amoeba,amoebae
analysis,analyses
antenna,antennae
apex,apices
appendix,appendices
auto,autos
automaton,automata
axis,axes
bacillus,bacilli
bacterium,bacteria
bamboo,bamboos
barracks,barracks
basis,bases
beau,beaux
beef,beefs
bison,bison
brace,brace
buffalo,buffaloes
bureau,bureaux
bus,busses
cactus,cacti
calf,calves
cargo,cargoes
cervix,cervices
cherub,cherubim
chief,chiefs
child,children
Chinese,Chinese
cliff,cliffs
cod,cod
commando,commandoes
con,cons
concerto,concerti
corps,corps
corpus,corpora
crisis,crises
criterion,criteria
crossroads,crossroads
curriculum,curricula
datum,data
deer,deer
diagnosis,diagnoses
dice,dice
do,does
dwarf,dwarfs
echo,echoes
elf,elves
ellipsis,ellipses
embargo,embargoes
emphasis,emphases
erratum,errata
fireman,firemen
fish,fish
focus,foci
focus,focuses
foot,feet
formula,formulae
fungus,fungi
gallows,gallows
genius,genii
genus,genera
go,goes
goose,geese
goosefoot,goosefoots
grief,griefs
gulf,gulfs
gymnasium,gymnasia
half,halves
halo,haloes
have,has
headquarters,headquarters
hero,heroes
hippopotamus,hippopotami
hoof,hoofs
hypothesis,hypotheses
index,indices
kangaroo,kangaroos
kilo,kilos
knife,knives
larva,larvae
leaf,leaves
libretto,libretti
life,lifes
life,lives
loaf,loaves
lookeron,lookerson
louse,lice
man,men
manday,mandays
manservant,menservants
mantime,mentimes
matrix,matrices
means,means
medium,media
memo,memos
memorandum,memoranda
millennium,milennia
minimum,minima
moose,moose
mosquito,mosquitoes
motto,mottoes
mouse,mice
nebula,nebulae
negro,negroes
neurosis,neuroses
no,noes
nucleus,nuclei
oasis,oases
octopus,octopi
offspring,offspring
optimum,optima
ortex,vortices
ovum,ova
ox,oxen
paralysis,paralyses
parenthesis,parentheses
penny,pence
perch,perch
person,people
phenomenon,phenomena
photo,photos
piano,pianos
pimento,pimentos
plateau,plateaux
potato,potatoes
pro,pros
proof,proofs
radius,radii
roof,roofs
scarf,scarfs
schema,schemata
scissors,scissors
seed,seed
self,selves
seraph,seraphim
series,series
sheaf,sheaves
sheep,sheep
shelf,shelves
shrimp,shrimp
sisterinlaw,sistersinlaw
solo,solos
soprano,sopranos
species,species
stadium,stadia
staff,staffs
stigma,stigmata
stimulus,stimuli
stratum,strata
studio,studios
Swiss,Swiss
syllabus,syllabi
symposium,symposia
synopsis,synopses
synthesis,syntheses
tableau,tableaux
tattoo,tattoos
tempo,tempi
terminus,termini
that,those
thesis,theses
this,these
tomato,tomatoes
tooth,teeth
tornado,tornadoes
torpedo,torpedoes
trousers,trousers
trout,trout
ultimatum,ultimata
vacuum,vacua
vertebra,vertebrae
veto,vetoes
video,videos
virtuoso,virtuosi
vita,vitae
volcano,volcanoes
vortex,vortices
woman,women
zero,zeroes
